planning_id,last_update_date,updated_within_year
253437,2026-02-14,yes
253438,2026-02-28,yes
253439,,no
253441,2026-02-28,yes
253444,2026-02-14,yes
253445,,no
253446,2026-03-09,yes
253452,2026-02-28,yes
253453,2026-02-28,yes
253454,,no
253458,2026-02-21,yes
253459,,no
253464,,no
253467,2026-02-28,yes
253470,2026-03-28,yes
253477,,no
253478,2026-03-19,yes
253482,2026-02-21,yes
253486,2026-02-28,yes
253487,2026-01-17,yes
253488,2026-03-19,yes
253492,2026-02-28,yes
253495,,no
253496,2026-03-28,yes
253499,,no
253501,2026-03-19,yes
253502,2026-03-19,yes
253503,,no
253504,2026-03-19,yes
253506,,no
253515,2026-02-28,yes
253516,,no
253517,,no
253518,,no
253519,,no
253524,2026-03-10,yes
253536,2026-02-28,yes
253537,2026-03-19,yes
253539,2026-03-28,yes
253540,2026-03-19,yes
253543,2026-03-28,yes
253544,,no
253545,2026-02-28,yes
253552,2026-03-19,yes
253553,2026-02-14,yes
253556,2026-02-28,yes
253565,,no
253566,2026-02-14,yes
253567,2026-03-28,yes
253568,2026-02-21,yes
253573,2026-02-28,yes
253574,,no
253580,2026-03-28,yes
253584,,no
253587,2026-02-28,yes
253589,2026-02-28,yes
253593,,no
253604,2026-02-28,yes
253606,2026-03-19,yes
253609,,no
253610,2026-03-10,yes
253614,2026-03-19,yes
253615,,no
253617,,no
253618,2026-02-14,yes
253627,2026-03-28,yes
253631,,no
253632,2026-02-14,yes
253633,2026-03-19,yes
253647,2026-02-28,yes
253653,,no
253663,2026-03-19,yes
253666,2026-02-21,yes
253669,,no
253672,2026-02-28,yes
253678,2026-03-19,yes
253682,,no
253683,,no
253691,2026-03-19,yes
253756,2025-11-17,yes
253758,2026-03-28,yes
253759,2026-03-10,yes
253778,2026-03-10,yes
253789,,no
253793,,no
253805,2026-03-19,yes
253806,2026-02-28,yes
254085,2025-11-17,yes
254246,,no
258551,2026-02-28,yes
258533,2026-03-10,yes
258529,,no
254961,,no
255046,,no
255053,2026-02-28,yes
255062,,no
255066,,no
255079,,no
255088,2026-02-28,yes
256667,2026-03-28,yes
256673,,no
256674,2026-02-28,yes
256676,2026-03-10,yes
256686,2026-03-10,yes
261446,,no
256700,,no
256705,2026-02-28,yes
256718,2026-03-10,yes
256721,2026-03-19,yes
256736,,no
256750,,no
261443,2026-02-21,yes
261442,,no
261440,,no
261441,,no
256802,,no
256855,2025-11-16,yes
256857,2026-02-28,yes
256994,2026-03-10,yes
257101,,no
257104,,no
257195,,no
257201,,no
257203,,no
257204,2026-03-19,yes
257291,,no
257294,2026-03-19,yes
257375,,no
257384,,no
257388,2026-03-28,yes
257457,,no
261419,2026-02-14,yes
257674,2025-11-17,yes
257676,2026-02-28,yes
261407,2026-03-10,yes
261405,2026-03-28,yes
259418,,no
259419,2026-03-19,yes
259422,,no
259424,,no
259432,,no
259433,,no
259434,,no
259435,2026-03-10,yes
259438,,no
259441,,no
259444,2026-03-10,yes
259449,,no
259465,,no
259469,,no
259484,,no
259505,,no
259517,2026-02-28,yes
259541,,no
260328,2026-03-10,yes
260327,2026-02-14,yes
260326,,no
405886,2026-02-07,yes
260320,2026-02-21,yes
260318,2026-03-19,yes
260317,,no
260308,,no
260312,2026-03-28,yes
260314,,no
262717,,no
262730,,no
262731,,no
262734,,no
262738,,no
262739,,no
262745,,no
262747,2026-03-28,yes
262757,2026-03-28,yes
262776,,no
262780,2026-02-20,yes
262788,,no
262834,2026-03-19,yes
262841,,no
262845,,no
262857,,no
262863,,no
262952,,no
263314,,no
263345,2026-03-09,yes
265105,2025-11-19,yes
265107,,no
265110,,no
265114,2026-03-19,yes
265117,2026-03-19,yes
265120,2026-03-19,yes
265121,2026-02-28,yes
265125,2026-02-27,yes
265126,2026-02-28,yes
265127,,no
265859,,no
265861,,no
265913,2026-03-20,yes
266029,2026-03-28,yes
266106,,no
266110,,no
266118,,no
